age,activity,years_activity,monthly_income,transaction_freq,income_volatility,tontine_contribution,tontine_regularity,expenses_ratio,existing_debt,default_risk
55,service,1,229208,43,0.7,17875,0.61,1.13,263321,1
53,commerce,2,204697,15,0.67,6622,0.61,0.88,135832,1
25,commerce,14,263945,62,0.72,45809,0.77,1.07,294923,1
59,service,6,281915,135,0.21,21725,0.8,0.82,283780,1
48,commerce,9,253664,52,0.26,45760,0.79,0.95,81889,0
27,service,8,258124,124,0.67,20646,0.55,0.87,53551,1
29,commerce,13,487477,120,0.5,22029,0.94,1.01,142635,1
28,agriculture,5,51542,89,0.7,34402,0.63,0.56,46819,1
32,commerce,1,333821,104,0.18,9263,0.56,0.54,212781,1
54,service,13,227804,127,0.53,35987,0.94,0.67,158059,0
53,service,7,231415,17,0.4,13646,0.98,0.61,189420,0
43,service,5,89081,141,0.47,32529,0.93,1.11,24596,1
44,service,6,243928,113,0.58,16664,0.9,0.65,59182,0
57,service,13,405249,141,0.5,40737,0.83,1.18,128803,1
55,artisan,7,269930,34,0.53,40796,0.78,0.74,139978,0
42,artisan,3,331209,105,0.49,29027,0.54,0.63,299058,1
47,commerce,12,264532,102,0.43,34373,0.7,1.05,45379,1
55,service,10,138092,70,0.72,41397,0.69,0.96,245900,1
21,commerce,3,366837,131,0.11,25609,0.63,0.85,258517,1
55,service,5,339106,60,0.58,40835,0.86,0.89,137084,0
57,service,6,78295,30,0.55,43709,0.75,1.0,181187,0
34,artisan,9,63807,14,0.67,24250,0.54,0.66,269295,1
23,artisan,13,485564,101,0.58,26172,0.61,1.2,57716,1
21,agriculture,14,207504,70,0.76,16555,0.84,1.18,223725,1
25,artisan,12,288067,31,0.87,26874,0.54,0.96,167450,1
46,agriculture,5,483478,79,0.37,18081,0.93,0.64,173724,0
34,agriculture,1,218152,10,0.28,29063,0.75,0.98,203502,1
59,agriculture,14,444540,142,0.44,11819,0.74,0.55,144539,0
47,agriculture,14,403411,21,0.33,30712,0.8,0.52,121999,0
29,agriculture,14,216981,99,0.59,29762,0.91,0.68,114793,0
35,commerce,4,270411,55,0.83,16046,0.67,0.82,12289,1
35,artisan,5,69870,43,0.21,36463,0.84,1.11,176048,1
46,agriculture,12,477794,87,0.18,33769,0.78,1.01,174668,1
33,service,10,253196,54,0.3,28150,0.63,1.02,231513,1
52,artisan,10,298683,82,0.68,7711,0.94,0.8,257368,1
59,artisan,5,284677,35,0.57,9853,0.9,0.74,86365,0
52,agriculture,7,76790,56,0.18,34077,0.83,0.76,230662,1
24,commerce,4,168874,130,0.84,28863,0.93,1.19,175211,1
50,agriculture,1,337433,65,0.73,26792,0.93,0.53,179785,1
57,commerce,14,498345,103,0.12,45483,0.85,1.11,72588,1
43,service,14,274786,116,0.62,13942,0.92,0.91,63646,0
59,artisan,5,65485,72,0.72,6762,0.85,0.81,265798,1
35,service,7,356626,57,0.4,36987,0.84,1.01,280887,1
49,commerce,10,136188,70,0.16,20850,0.81,0.84,221097,1
56,commerce,10,54748,90,0.16,17112,0.88,1.11,205244,1
33,service,6,267841,35,0.18,29058,0.58,1.13,119735,1
52,commerce,5,190507,45,0.77,43890,0.94,0.8,155683,1
27,service,4,315853,10,0.83,5481,0.94,0.69,107971,1
42,artisan,2,173961,17,0.2,37921,0.51,0.91,12149,1
48,service,4,80355,122,0.29,45385,0.91,1.14,238976,1
22,artisan,10,236843,108,0.23,6524,0.56,0.65,42668,1
26,service,10,456332,56,0.25,39888,0.67,0.94,88204,1
48,commerce,3,206542,136,0.77,20048,0.87,0.94,211830,1
48,service,10,223416,65,0.37,40111,0.58,1.01,196501,1
40,commerce,1,355062,23,0.35,42904,0.91,0.59,165140,0
50,service,8,364368,37,0.28,39008,0.92,1.0,219861,1
31,service,5,89298,87,0.59,5060,0.75,1.14,140507,1
48,agriculture,13,392363,139,0.4,14130,0.5,0.63,225160,1
45,commerce,4,111629,118,0.7,23023,0.64,0.67,183321,1
59,agriculture,8,378184,23,0.26,18350,0.81,1.18,37384,1
53,commerce,7,280907,65,0.73,29354,0.99,0.63,81929,1
21,agriculture,2,340160,124,0.58,33145,0.82,1.1,76153,1
47,artisan,1,73960,16,0.19,39020,0.63,0.84,235128,1
33,service,12,345735,12,0.43,25587,0.82,0.67,75388,0
23,commerce,11,263920,120,0.79,46131,0.77,1.11,31401,1
59,commerce,4,415477,116,0.84,14650,0.89,0.81,202903,1
26,service,8,292804,27,0.47,24933,0.55,0.86,119503,1
28,commerce,12,426965,47,0.48,25581,0.88,0.75,232601,1
47,commerce,2,348539,124,0.83,28393,0.77,0.92,127834,1
29,agriculture,3,179695,24,0.57,28051,0.98,0.61,34084,0
57,commerce,12,465916,128,0.13,31212,0.67,0.77,251459,1
53,artisan,1,346764,37,0.83,9090,0.82,1.18,110641,1
44,artisan,1,284286,48,0.3,11960,0.97,0.68,105111,0
35,service,13,178148,26,0.56,40772,0.55,0.96,138299,1
52,commerce,3,332703,95,0.23,26520,0.97,0.73,162982,0
52,service,11,405540,135,0.13,41408,0.84,1.04,298185,1
44,artisan,5,242714,53,0.35,33470,0.53,0.59,234386,1
32,commerce,12,257611,34,0.72,25491,0.65,1.18,196553,1
59,commerce,3,333876,22,0.32,6341,0.85,0.82,260337,1
22,service,1,309747,34,0.28,49623,0.53,0.67,127556,1
23,artisan,1,141362,77,0.27,29791,0.79,0.55,195246,0
57,commerce,8,473570,147,0.51,5338,0.67,0.62,26160,1
37,service,10,325987,76,0.88,10895,0.81,0.86,246242,1
22,artisan,11,164065,118,0.47,17254,0.52,0.74,17633,1
22,service,12,383870,120,0.55,16344,0.94,1.08,279158,1
48,agriculture,13,67640,120,0.79,6750,0.99,0.8,49104,1
43,commerce,13,102528,43,0.53,7421,0.98,0.67,68388,0
57,agriculture,12,350557,120,0.25,44887,0.87,0.93,16014,0
52,artisan,14,309214,17,0.34,10319,0.57,0.99,92578,1
53,agriculture,2,364782,122,0.35,20896,0.88,0.62,164827,0
21,agriculture,13,495952,92,0.42,16918,0.51,0.62,40390,1
39,artisan,3,160133,51,0.44,30064,0.51,0.53,285855,1
22,service,2,418501,110,0.74,32935,0.66,1.02,91658,1
46,agriculture,3,249938,15,0.38,42641,0.74,0.96,57993,0
52,service,7,200159,35,0.47,34711,0.89,0.83,205768,1
26,agriculture,1,222502,73,0.6,9806,0.84,1.09,158285,1
52,service,10,205576,68,0.4,46360,0.72,1.06,246860,1
24,artisan,8,450330,118,0.77,17182,0.64,0.91,269565,1
31,agriculture,13,391003,130,0.57,27297,1.0,1.11,218008,1
37,artisan,10,411801,42,0.34,24541,0.71,0.64,17727,0
58,agriculture,10,454191,30,0.67,33921,0.73,0.58,4358,0
44,artisan,10,61023,79,0.52,21774,0.58,0.69,257681,1
25,artisan,14,71447,121,0.53,49813,0.9,0.54,94018,0
54,agriculture,2,438043,13,0.48,42198,0.85,0.87,294054,1
26,agriculture,3,336103,103,0.5,13820,0.61,1.16,126888,1
42,agriculture,9,116203,84,0.71,29070,0.54,0.53,229104,1
31,commerce,7,431300,71,0.18,9232,0.84,0.59,193510,0
36,service,4,210775,103,0.37,16122,0.83,0.82,109847,0
53,commerce,10,59337,104,0.16,20023,0.64,1.15,296037,1
29,commerce,5,96427,64,0.7,13007,0.98,0.72,76329,0
26,artisan,2,373673,146,0.32,22905,0.58,0.86,31007,1
36,agriculture,13,414167,140,0.82,46786,0.72,0.53,170604,1
49,service,11,396809,40,0.52,34398,0.97,0.6,12323,0
23,artisan,13,155787,49,0.74,39268,0.71,1.19,112356,1
